timestamp,src_ip,dst_ip,protocol,tcp_flags,attack
1739085571.333729000,18.214.171.0,192.168.0.243,6,0x0018,0
1739085571.333898000,18.214.171.0,192.168.0.243,6,0x0018,0
1739085571.333923000,192.168.0.243,18.214.171.0,6,0x0010,0
1739085571.334113000,192.168.0.243,18.214.171.0,6,0x0018,0
1739085571.334362000,192.168.0.243,18.214.171.0,6,0x0014,0
1739085571.335869000,18.214.171.0,192.168.0.243,6,0x0011,0
1739085571.439650000,18.214.171.0,192.168.0.243,6,0x0010,0
1739085571.440739000,18.214.171.0,192.168.0.243,6,0x0004,0
1739085572.152666000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085572.152709000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085572.167196000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085572.167259000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085572.608167000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085572.608258000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085572.611758000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085572.611758000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085572.653381000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085572.653423000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085573.240099000,192.168.0.205,224.0.0.251,17,0x0000,0
1739085574.232320000,192.168.0.205,224.0.0.251,17,0x0000,0
1739085574.855154000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.855154000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.866451000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.866451000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.877476000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.877476000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.888335000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.888335000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.898949000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.898949000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.910849000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.910849000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.921505000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.921505000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.935311000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.935311000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.957774000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.957774000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.958998000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.958998000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.971115000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.971115000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.982698000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.982698000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085575.017361000,192.168.0.243,142.250.178.14,17,0x0000,0
1739085575.017417000,192.168.0.243,142.250.178.14,17,0x0000,0
1739085575.034495000,142.250.178.14,192.168.0.243,17,0x0000,0
1739085575.060550000,192.168.0.243,142.250.178.14,17,0x0000,0
1739085575.076166000,142.250.178.14,192.168.0.243,17,0x0000,0
1739085575.076166000,142.250.178.14,192.168.0.243,17,0x0000,0
1739085575.076166000,142.250.178.14,192.168.0.243,17,0x0000,0
1739085575.076371000,192.168.0.243,142.250.178.14,17,0x0000,0
1739085575.106485000,192.168.0.243,142.250.178.14,17,0x0000,0
1739085575.119754000,142.250.178.14,192.168.0.243,17,0x0000,0
1739085575.153831000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085575.153886000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085575.164883000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085575.164943000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085575.876266000,192.168.0.243,54.230.10.84,6,0x0010,0
1739085575.888420000,54.230.10.84,192.168.0.243,6,0x0010,0
1739085576.860187000,192.168.0.243,142.250.110.188,6,0x0010,0
1739085576.881886000,142.250.110.188,192.168.0.243,6,0x0010,0
1739085577.243036000,192.168.0.205,224.0.0.251,17,0x0000,0
1739085577.613619000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085577.613696000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085577.617436000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085577.617436000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085577.659573000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085577.659621000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085578.153958000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085578.154007000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085578.166562000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085578.166621000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085580.379251000,192.168.0.243,3.20.69.150,6,0x0018,0
1739085580.494479000,3.20.69.150,192.168.0.243,6,0x0010,0
1739085580.508401000,3.20.69.150,192.168.0.243,6,0x0018,0
1739085580.561366000,192.168.0.243,3.20.69.150,6,0x0010,0
1739085581.155542000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085581.155592000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085581.167185000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085581.167245000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085581.341463000,192.168.0.243,172.64.155.209,6,0x0010,0
1739085581.350199000,172.64.155.209,192.168.0.243,6,0x0010,0
1739085582.624240000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085582.624301000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085582.631017000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085582.631017000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085582.685220000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085582.685220000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085582.701022000,192.168.0.143,192.168.0.243,6,0x0002,1
1739085582.701190000,192.168.0.243,192.168.0.143,6,0x0012,0
1739085582.705212000,192.168.0.143,192.168.0.243,6,0x0010,0
1739085582.706167000,192.168.0.143,192.168.0.243,6,0x0018,0
1739085582.706221000,192.168.0.243,192.168.0.143,6,0x0014,0
1739085584.157290000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085584.157339000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.168147000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085584.168205000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.286719000,192.168.0.243,172.217.169.4,17,0x0000,0
1739085584.286767000,192.168.0.243,172.217.169.4,17,0x0000,0
1739085584.286991000,192.168.0.243,172.217.169.4,17,0x0000,0
1739085584.306869000,172.217.169.4,192.168.0.243,17,0x0000,0
1739085584.310673000,172.217.169.4,192.168.0.243,17,0x0000,0
1739085584.317478000,172.217.169.4,192.168.0.243,17,0x0000,0
1739085584.317478000,172.217.169.4,192.168.0.243,17,0x0000,0
1739085584.317478000,172.217.169.4,192.168.0.243,17,0x0000,0
1739085584.317570000,172.217.169.4,192.168.0.243,17,0x0000,0
1739085584.318024000,192.168.0.243,172.217.169.4,17,0x0000,0
1739085584.318100000,192.168.0.243,172.217.169.4,17,0x0000,0
1739085584.336741000,172.217.169.4,192.168.0.243,17,0x0000,0
1739085584.339653000,172.217.169.4,192.168.0.243,17,0x0000,0
1739085584.339837000,192.168.0.243,172.217.169.4,17,0x0000,0
1739085584.854491000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.854667000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.865204000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.865204000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.876288000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.877611000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.889045000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.889045000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.900072000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.901487000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.911252000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.911252000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.922903000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.922903000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.933784000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.933784000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.945801000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.945801000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.957047000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.957047000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.968386000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.968386000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085584.979100000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085584.979100000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085585.371077000,192.168.0.245,224.0.0.251,17,0x0000,0
1739085585.371450000,192.168.0.245,224.0.0.251,17,0x0000,0
1739085585.371450000,192.168.0.245,224.0.0.251,17,0x0000,0
1739085587.158823000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085587.159152000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085587.169748000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085587.170042000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085587.637311000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085587.637399000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085587.640479000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085587.642199000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085587.686269000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085587.686306000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085589.029076000,192.168.0.243,142.250.200.10,6,0x0010,0
1739085589.045138000,142.250.200.10,192.168.0.243,6,0x0010,0
1739085590.162194000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085590.162532000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085590.173326000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085590.174616000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085590.784682000,54.230.10.84,192.168.0.243,6,0x0018,0
1739085590.784974000,192.168.0.243,54.230.10.84,6,0x0011,0
1739085590.786383000,54.230.10.84,192.168.0.243,6,0x0011,0
1739085590.786405000,192.168.0.243,54.230.10.84,6,0x0010,0
1739085590.797624000,54.230.10.84,192.168.0.243,6,0x0010,0
1739085592.653392000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085592.653483000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085592.656146000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085592.656146000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085592.699693000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085592.699695000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085593.163771000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085593.163815000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085593.177082000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085593.177134000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.854014000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.855592000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.866201000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.866201000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.875626000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.879836000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.890017000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.890017000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.900718000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.900718000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.915109000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.925403000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.925403000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.936753000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.936753000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.936753000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.946439000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.946439000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.957070000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.957070000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.971269000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.974954000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085594.981305000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085594.981305000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085596.166129000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085596.166179000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085596.179007000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085596.180201000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085596.339748000,192.168.0.243,172.64.155.209,6,0x0010,0
1739085596.349340000,172.64.155.209,192.168.0.243,6,0x0010,0
1739085597.060549000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085597.658908000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085597.658978000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085597.662739000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085597.662739000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085597.704394000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085597.704394000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085598.061861000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085599.066464000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085599.170046000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085599.170444000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085599.179159000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085599.179544000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085599.311388000,192.168.0.243,194.168.4.100,17,0x0000,0
1739085599.332206000,194.168.4.100,192.168.0.243,17,0x0000,0
1739085599.333554000,192.168.0.243,204.79.197.203,6,0x0002,1
1739085599.352821000,204.79.197.203,192.168.0.243,6,0x0012,0
1739085599.352913000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.355277000,192.168.0.243,204.79.197.203,6,0x0018,0
1739085599.375688000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.376752000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.376790000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.376871000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.376871000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.376871000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.376871000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085599.376900000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.399640000,192.168.0.243,204.79.197.203,6,0x0018,0
1739085599.399988000,192.168.0.243,204.79.197.203,6,0x0018,0
1739085599.402501000,192.168.0.243,204.79.197.203,6,0x0018,0
1739085599.420416000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.421490000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085599.421542000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.421637000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085599.421651000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.421997000,192.168.0.243,204.79.197.203,6,0x0018,0
1739085599.424760000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085599.424760000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.424794000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.444184000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.826636000,192.168.0.243,104.18.30.173,6,0x0010,0
1739085599.835225000,104.18.30.173,192.168.0.243,6,0x0010,0
1739085599.984325000,192.168.0.245,239.255.255.251,17,0x0000,0
1739085599.984383000,192.168.0.245,224.0.0.250,17,0x0000,0
1739085600.541467000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541526000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.541616000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541616000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.541643000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.541723000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541723000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541723000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.541750000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.541820000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.541820000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.541835000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.541910000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541910000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541910000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.541942000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.542000000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.542000000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.542018000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.542085000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.542085000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.542085000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.542106000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.542177000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.542191000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.690706000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.690833000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.690833000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.690833000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.690884000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.691069000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.691069000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.691069000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.691117000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085602.171939000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085602.172000000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085602.181995000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085602.182027000,192.168.0.143,192.168.0.255,17,0x0000,0
